"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column 2","Column 6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"67829","1.748","0.16859059","0.57208238","0.15330836","place","place","243","5","false","the_world","19.33333333","243","0","48","0.87533333","true","14","the_world","49554","0.08400966"
"67830","2.324","0.0","0.4302926","1.0","place","place","26","5","false","Hirah","31.07692308","26","0","13","0.77933333","false","0","Hirah","0","0.18949343"
"67831","2.208","0.00301816","0.45289855","0.62528736","place","place","67","5","false","Irem","30.9","67","0","14","0.79866667","false","2","Irem","1844","0.17556818"
"67832","2.348","0.00724483","0.42589438","0.40952381","metaplace","metaplace","24","5","false","Universe","27.46666667","24","0","6","0.77533333","false","2","Universe","2626","0.16747967"
"67833","2.264","0.00183835","0.44169611","0.76666667","metaplace","metaplace","49","5","false","Irem_removed","32.04","49","0","8","0.78933333","false","2","Irem_removed","1236","0.19185629"
"67834","2.42","0.0","0.41322314","1.0","place","place","43","5","false","Al_Ahkaf","33.0","43","0","10","0.76333333","false","4","Al_Ahkaf","0","0.23076923"
"67835","2.42","0.0","0.41322314","1.0","place","place","15","5","false","Hadramaut","33.0","15","0","4","0.76333333","false","0","Hadramaut","0","0.23076923"
"67836","2.42","0.0","0.41322314","1.0","place","place","15","5","false","the desarts of Aden","33.0","15","0","4","0.76333333","false","0","the desarts of Aden","0","0.23076923"
"67837","2.124","0.02100203","0.47080979","0.3804878","metaplace","metaplace","139","5","false","sky","25.34146341","139","0","35","0.81266667","false","18","sky","8560","0.13624443"
"67838","2.384","0.00164201","0.41946309","0.62637363","place","place","34","5","false","Hejaz","26.5","34","0","10","0.76933333","false","0","Hejaz","776","0.17905405"
"67839","2.132","0.02486957","0.46904315","0.2745098","place","place","85","4","false","Mecca","23.67647059","85","0","21","0.81133333","false","6","Mecca","10280","0.12867647"
"67840","2.368","6.337E-4","0.4222973","0.78787879","place","place","39","5","false","Red_Hillock","31.83333333","39","0","10","0.772","false","2","Red_Hillock","300","0.20670996"
"67841","2.42","0.0","0.41322314","1.0","place","place","15","5","false","Magaith","33.0","15","0","4","0.76333333","false","0","Magaith","0","0.23076923"
"67842","2.264","0.01179631","0.44169611","0.66381766","metaplace","metaplace","141","5","false","Eden","30.51851852","141","0","26","0.78933333","false","12","Eden","4556","0.18586269"
"67843","2.544","5.3702E-4","0.39308176","0.6","place","place","22","5","false","Africa","39.8","22","0","5","0.74266667","false","4","Africa","234","0.34017094"
"67844","2.864","0.0","0.34916201","1.0","place","place","18","5","false","Ethiopia","28.0","18","0","3","0.68933333","false","6","Ethiopia","0","0.5"
"67845","2.664","0.0","0.37537538","1.0","place","place","6","5","false","Jerusalem","45.33333333","6","0","1","0.72266667","false","0","Jerusalem","0","0.46735395"
"67846","2.352","0.0","0.42517007","1.0","place","place","30","5","false","Pyramids","33.61904762","30","0","4","0.77466667","false","0","Pyramids","0","0.22563119"
"67847","2.012","0.02983829","0.49701789","0.3551797","place","place","187","5","false","Egypt","25.77272727","187","0","30","0.83133333","false","14","Egypt","11850","0.12214563"
"67848","1.844","0.08736646","0.54229935","0.21491841","place","place","231","5","false","Earth_planet","21.56060606","231","0","38","0.85933333","false","12","Earth_planet","29790","0.09333596"
"67849","2.172","0.02530488","0.46040516","0.50604839","metaplace","metaplace","50","5","false","stars","27.53125","50","0","7","0.80466667","false","0","stars","9356","0.15044399"
"67850","2.352","0.0","0.42517007","1.0","place","place","31","5","false","Nile_River","33.61904762","31","0","4","0.77466667","false","0","Nile_River","0","0.22563119"
"67851","2.192","0.00316806","0.45620438","0.65270936","place","place","47","5","false","the_West","33.4137931","47","0","9","0.80133333","false","0","the_West","2178","0.18460659"
"67852","2.352","0.0","0.42517007","1.0","place","place","31","5","false","the land Al-Said","33.61904762","31","0","4","0.77466667","false","0","the land Al-Said","0","0.22563119"
"67853","2.352","0.0","0.42517007","1.0","place","place","31","5","false","Abulfeda","33.61904762","31","0","4","0.77466667","false","0","Abulfeda","0","0.22563119"
"67854","2.352","0.0","0.42517007","1.0","place","place","31","5","false","#Egypt","33.61904762","31","0","4","0.77466667","false","0","#Egypt","0","0.22563119"
"67855","2.352","0.0","0.42517007","1.0","metaplace","metaplace","31","5","false","the subterranean palaces of Romance","33.61904762","31","0","4","0.77466667","false","0","the subterranean palaces of Romance","0","0.22563119"
"67856","2.352","0.0","0.42517007","1.0","place","place","31","5","false","Bologna","33.61904762","31","0","4","0.77466667","false","0","Bologna","0","0.22563119"
"67857","2.048","0.02193704","0.48828125","0.37926829","place","place","62","5","false","East_Indies","25.53658537","62","0","11","0.82533333","false","0","East_Indies","8194","0.12456871"
"67858","2.312","7.1598E-4","0.43252595","0.87351779","place","place","46","5","false","Ad","32.91304348","46","0","6","0.78133333","false","4","Ad","556","0.20963722"
"67859","2.196","0.00731201","0.45537341","0.57862903","place","place","51","5","false","Syria","29.15625","51","0","9","0.80066667","false","0","Syria","3168","0.16472458"
"67860","2.352","0.0","0.42517007","1.0","place","place","31","5","false","Ormus","33.61904762","31","0","4","0.77466667","false","0","Ormus","0","0.22563119"
"67861","2.292","0.00779786","0.43630017","0.65811966","place","place","37","5","false","Damascus","29.66666667","37","0","4","0.78466667","false","0","Damascus","2714","0.18776371"
